run_name,rank,role,phase,total_s,avg_per_step_s
followup_b2,0,stage0,grad_sync_stage0,0.344601,0.114867
followup_b2,0,stage0,optimizer_step,0.006286,0.002095
followup_b2,0,stage0,prepare_views,0.193628,0.064543
followup_b2,0,stage0,recv_boundary_grad,2.171353,0.723784
followup_b2,0,stage0,send_boundary,0.008958,0.002986
followup_b2,0,stage0,stage0_backward,2.100967,0.700322
followup_b2,0,stage0,stage0_forward,0.897362,0.299121
followup_b2,1,stage1,gather_embeddings,0.009029,0.003010
followup_b2,1,stage1,grad_sync_stage1,1.154142,0.384714
followup_b2,1,stage1,loss_backward,1.281641,0.427214
followup_b2,1,stage1,loss_calculation,0.003340,0.001113
followup_b2,1,stage1,optimizer_step,0.207660,0.069220
followup_b2,1,stage1,recv_boundary,1.818903,0.606301
followup_b2,1,stage1,send_boundary_grad,0.006339,0.002113
followup_b2,1,stage1,stage1_forward,0.612515,0.204172
followup_b2,2,stage0,grad_sync_stage0,0.517687,0.172562
followup_b2,2,stage0,optimizer_step,0.005754,0.001918
followup_b2,2,stage0,prepare_views,0.158716,0.052905
followup_b2,2,stage0,recv_boundary_grad,2.312422,0.770807
followup_b2,2,stage0,send_boundary,0.022845,0.007615
followup_b2,2,stage0,stage0_backward,1.801151,0.600384
followup_b2,2,stage0,stage0_forward,0.858144,0.286048
followup_b2,3,stage1,gather_embeddings,0.130253,0.043418
followup_b2,3,stage1,grad_sync_stage1,1.095044,0.365015
followup_b2,3,stage1,loss_backward,1.179476,0.393159
followup_b2,3,stage1,loss_calculation,0.014397,0.004799
followup_b2,3,stage1,optimizer_step,0.239757,0.079919
followup_b2,3,stage1,recv_boundary,1.712628,0.570876
followup_b2,3,stage1,send_boundary_grad,0.021534,0.007178
followup_b2,3,stage1,stage1_forward,0.587594,0.195865
